# lines in header: 30
#
# filename:  swEqtrElectrons5.2024b.dat
# OMNI SW electron density based on SW proton density and alpha-to-proton abundance Ne=(Np(1+2NA/Np)) interpolated to CRs halves
# author : M. Kubiak, based on J. Sokol / (1) Space Research Centre PAS (CBK PAN), Warsaw, Poland, mkubiak@cbk.waw.pl 
# contact: mkubiak@cbk.waw.pl
# software version v1.10
# dataFile date:  DATE: 11/05/24
# last CR: 2287.5
# flag: 
# source file: omni2Alpha_2024_11_05.dat and omni2Dens_2024_11_05.dat
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
#	decimalYear	SWparameter	JD	CarringtonR
########################################
1971.2883239726025 7.685385642835628 2.4410577382499995e6 1573.5
1971.3630508219178 6.914059149551722 2.44108501355e6 1574.5
1971.4377776712327 9.139129588591395 2.44111228885e6 1575.5
1971.512504520548 6.914136846293348 2.44113956415e6 1576.5
1971.5872313698628 13.493884510586286 2.44116683945e6 1577.5
1971.661958219178 12.198506459425905 2.4411941147499997e6 1578.5
1971.7366850684928 10.903128408265527 2.4412213900499996e6 1579.5
1971.8114119178078 9.607750357105147 2.44124866535e6 1580.5
1971.886138767123 8.312372305944766 2.44127594065e6 1581.5
1971.960865616438 7.016994254784385 2.4413032159499996e6 1582.5
1972.0354939291005 6.908508178756378 2.44133049125e6 1583.5
1972.1100178960326 6.892977025016874 2.4413577665500003e6 1584.5
1972.1845405737706 7.301451538245928 2.4413850418499997e6 1585.5
1972.2590632513657 8.482039987379444 2.4414123171500005e6 1586.5
1972.3335859289607 9.814352014579839 2.44143959245e6 1587.5
1972.4081086065578 7.672424666211406 2.4414668677499997e6 1588.5
1972.4826312841533 8.893316857518693 2.44149414305e6 1589.5
1972.557153961748 10.193616208666711 2.44152141835e6 1590.5
1972.6316766393443 10.472656520504417 2.44154869365e6 1591.5
1972.7061993169405 10.751696832342123 2.44157596895e6 1592.5
1972.7807219945366 11.03073714417983 2.44160324425e6 1593.5
1972.8552446721317 9.250736800017028 2.4416305195499994e6 1594.5
1972.9297689317034 12.053633292946433 2.44165779485e6 1595.5
1973.0043243354867 7.661552491141792 2.4416850701499996e6 1596.5
1973.079028764668 7.865958175391045 2.44171234545e6 1597.5
1973.153755479452 7.663707997091409 2.44173962075e6 1598.5
1973.2284823287675 7.966577080269123 2.44176689605e6 1599.5
1973.3032091780824 6.577867262046804 2.4417941713500004e6 1600.5
1973.3779360273977 7.114729451805003 2.4418214466500003e6 1601.5
1973.452662876712 7.634222998297923 2.44184872195e6 1602.5
1973.5273897260272 8.526620966875186 2.44187599725e6 1603.5
1973.6021165753423 9.29282774361913 2.4419032725500003e6 1604.5
1973.6768434246576 8.70649550603506 2.4419305478499997e6 1605.5
1973.7515702739718 8.992835932309903 2.44195782315e6 1606.5
1973.8262971232875 7.985099769843976 2.4419850984500004e6 1607.5
1973.901023972602 9.487253552047093 2.44201237375e6 1608.5
1973.975750821917 8.201351615060045 2.4420396490499997e6 1609.5
1974.0504776712328 5.5562185533661825 2.4420669243499995e6 1610.5
1974.1252045205486 6.127859994362246 2.44209419965e6 1611.5
1974.1999313698627 5.8835421522415 2.4421214749499997e6 1612.5
1974.2746582191778 6.659438151772909 2.4421487502500005e6 1613.5
1974.3493850684933 5.958328835208341 2.442176025549999e6 1614.5
