CCSDS_VERSION, CCSDS_TYPE, CCSDS_SEC_HDR_FLAG, CCSDS_APPID, CCSDS_SEQ_CNT, CCSDS_LENGTH, SC_TICK, HDR_FRAME_VERSION, HDR_UNIT_NUM, HDR_FRAME_VERSION, CODE_OK, HDR_MINUTE_CNT,Bx_nT,By_nT,Bz_nT
0,0,1,1252,5267,5243,377990,1,3,1,0,80,5.5,0.1,3.3
0,0,1,1252,5287,5243,378050,1,3,1,0,81,4.75,1.6,2.55
0,0,1,1252,5307,5243,378110,1,3,1,0,82,2.5,3.6,1.8
0,0,1,1252,5327,5243,378170,1,3,1,0,83,2.75,4.35,1.3
0,0,1,1252,5347,5243,378230,1,3,1,0,84,4,4.1,2.3
0,0,1,1252,5367,5243,378290,1,3,1,0,85,2,5.85,2.55
0,0,1,1252,5387,5243,378350,1,3,1,0,86,0.5,5.1,5.05
0,0,1,1252,5407,5243,378410,1,3,1,0,87,-0.25,4.35,6.05
0,0,1,1252,5427,5243,378470,1,3,1,0,88,0.25,6.1,8.3
0,0,1,1252,5447,5243,378530,1,3,1,0,89,-2.25,7.1,7.55
0,0,1,1252,5467,5243,378590,1,3,1,0,90,-4.25,9.35,8.55
0,0,1,1252,5487,5243,378650,1,3,1,0,91,-5.75,9.1,6.8
0,0,1,1252,5507,5243,378710,1,3,1,0,92,-3.25,7.35,4.3
0,0,1,1252,5527,5243,378770,1,3,1,0,93,-5,7.6,2.55
0,0,1,1252,5547,5243,378830,1,3,1,0,94,-4.75,7.6,4.3
0,0,1,1252,5567,5243,378890,1,3,1,0,95,-7.25,8.6,5.3
0,0,1,1252,5587,5243,378950,1,3,1,0,96,-5,9.6,5.05
0,0,1,1252,5607,5243,379010,1,3,1,0,97,-3,11.1,7.55
0,0,1,1252,5627,5243,379070,1,3,1,0,98,-3,10.1,10.05
0,0,1,1252,5647,5243,379130,1,3,1,0,99,-3,11.85,11.3
0,0,1,1252,5667,5243,379190,1,3,1,0,100,-5.5,10.35,12.3
0,0,1,1252,5687,5243,379250,1,3,1,0,101,-7,7.85,13.05
0,0,1,1252,5707,5243,379310,1,3,1,0,102,-5.75,7.35,14.8
0,0,1,1252,5727,5243,379370,1,3,1,0,103,-8.25,6.1,13.05
0,0,1,1252,5747,5243,379430,1,3,1,0,104,-6,3.85,13.05
0,0,1,1252,5767,5243,379490,1,3,1,0,105,-7.75,2.1,15.05
0,0,1,1252,5787,5243,379550,1,3,1,0,106,-10.25,-0.4,15.55
0,0,1,1252,5807,5243,379610,1,3,1,0,107,-9.75,-0.65,13.05
0,0,1,1252,5827,5243,379670,1,3,1,0,108,-12.25,-2.15,13.55
0,0,1,1252,5847,5243,379730,1,3,1,0,109,-13.25,0.1,14.8
0,0,1,1252,5867,5243,379790,1,3,1,0,110,-10.75,1.1,16.05
0,0,1,1252,5887,5243,379850,1,3,1,0,111,-11,1.35,15.05
0,0,1,1252,5907,5243,379910,1,3,1,0,112,-8.5,3.85,14.55
0,0,1,1252,5927,5243,379970,1,3,1,0,113,-8.75,4.6,14.8
0,0,1,1252,5947,5243,380030,1,3,1,0,114,-9.5,5.85,15.05
0,0,1,1252,5967,5243,380090,1,3,1,0,115,-7.5,8.1,15.55
0,0,1,1252,5987,5243,380150,1,3,1,0,116,-7.75,6.35,18.05
0,0,1,1252,6007,5243,380210,1,3,1,0,117,-9,5.85,20.3
0,0,1,1252,6027,5243,380270,1,3,1,0,118,-11.5,6.35,22.8
0,0,1,1252,6047,5243,380330,1,3,1,0,119,-9.5,4.85,20.55
0,0,1,1252,6067,5243,380390,1,3,1,0,120,-9.75,3.85,18.3
0,0,1,1252,6087,5243,380450,1,3,1,0,121,-9.25,1.85,19.55
0,0,1,1252,6107,5243,380510,1,3,1,0,122,-7.25,2.85,19.05
0,0,1,1252,6127,5243,380570,1,3,1,0,123,-9.5,4.6,18.3
0,0,1,1252,6147,5243,380630,1,3,1,0,124,-10.25,2.35,16.55
0,0,1,1252,6167,5243,380690,1,3,1,0,125,-11,4.6,15.3
0,0,1,1252,6187,5243,380750,1,3,1,0,126,-12.75,2.35,16.8
0,0,1,1252,6207,5243,380810,1,3,1,0,127,-14.75,4.35,14.8
0,0,1,1252,6227,5243,380870,1,3,1,0,128,-16.75,5.6,12.55
0,0,1,1252,6247,5243,380930,1,3,1,0,129,-16.75,6.1,11.55
